title,year,director,duration,cast,genre,imdb_rating
Lethal Weapon 3,1992,Richard Donner,118,"Mel Gibson, Danny Glover, Joe Pesci",Spaghetti Western,6.7
35 Up,1992,Michael Apted,123,"Bruce Balden, Jacqueline Bassett, Andrew Brackfield",Family,8.1
35 Up,1992,Michael Apted,123,"Bruce Balden, Jacqueline Bassett, Andrew Brackfield",Comedy Drama,8.1
35 Up,1992,Michael Apted,123,"Bruce Balden, Jacqueline Bassett, Andrew Brackfield",Childhood Drama,8.1
The Mighty Ducks,1992,Stephen Herek,100,"Emilio Estevez, Joss Ackland, Lane Smith",Adventure Drama,6.6
The Mighty Ducks,1992,Stephen Herek,100,"Emilio Estevez, Joss Ackland, Lane Smith",Adventure,6.6
The Mighty Ducks,1992,Stephen Herek,100,"Emilio Estevez, Joss Ackland, Lane Smith",Based-on-a-True-Story,6.6
Under Siege,1992,Andrew Davis,103,"Steven Seagal, Tommy Lee Jones, Gary Busey",Black Comedy,6.5
Under Siege,1992,Andrew Davis,103,"Steven Seagal, Tommy Lee Jones, Gary Busey",Comedy Drama,6.5
Under Siege,1992,Andrew Davis,103,"Steven Seagal, Tommy Lee Jones, Gary Busey",Drama,6.5
Basic Instinct,1992,Paul Verhoeven,128,"Michael Douglas, Sharon Stone, Jeanne Tripplehorn",Based-on-20th-Century-Literature,7.1
Basic Instinct,1992,Paul Verhoeven,128,"Michael Douglas, Sharon Stone, Jeanne Tripplehorn",Crime Drama,7.1
Basic Instinct,1992,Paul Verhoeven,128,"Michael Douglas, Sharon Stone, Jeanne Tripplehorn",Crime,7.1
Death Becomes Her,1992,Robert Zemeckis,104,"Meryl Streep, Bruce Willis, Goldie Hawn",Based-on-19th-Century-Literature,6.7
Death Becomes Her,1992,Robert Zemeckis,104,"Meryl Streep, Bruce Willis, Goldie Hawn",Drama,6.7
Death Becomes Her,1992,Robert Zemeckis,104,"Meryl Streep, Bruce Willis, Goldie Hawn",Foreign Language Film,6.7
Diggstown,1992,Michael Ritchie,98,"Heather Graham, Oliver Platt, Bruce Dern",Action,6.9
Diggstown,1992,Michael Ritchie,98,"Heather Graham, Oliver Platt, Bruce Dern",Action Thriller,6.9
Diggstown,1992,Michael Ritchie,98,"Heather Graham, Oliver Platt, Bruce Dern",Drama,6.9
Shadows and Fog,1992,Woody Allen,85,"Woody Allen, Madonna, Donald Pleasence",Based-on-20th-Century-Literature,6.7
Shadows and Fog,1992,Woody Allen,85,"Woody Allen, Madonna, Donald Pleasence",Drama,6.7
Shadows and Fog,1992,Woody Allen,85,"Woody Allen, Madonna, Donald Pleasence",Fantasy,6.7
Once Upon a Time in China II,1992,Hark Tsui,113,"Jet Li, Rosamund Kwan, Donnie Yen",Crime Drama,7.3
Once Upon a Time in China II,1992,Hark Tsui,113,"Jet Li, Rosamund Kwan, Donnie Yen",Crime Thriller,7.3
Once Upon a Time in China II,1992,Hark Tsui,113,"Jet Li, Rosamund Kwan, Donnie Yen",Crime,7.3
Buffy the Vampire Slayer,1992,Fran Rubel Kuzui,86,"Kristy Swanson, Donald Sutherland, Paul Reubens",Drama,5.7
Buffy the Vampire Slayer,1992,Fran Rubel Kuzui,86,"Kristy Swanson, Donald Sutherland, Paul Reubens",Romance,5.7
Buffy the Vampire Slayer,1992,Fran Rubel Kuzui,86,"Kristy Swanson, Donald Sutherland, Paul Reubens",Romantic Drama,5.7
Juice,1992,Ernest R. Dickerson,95,"Omar Epps, Khalil Kain, Samuel L. Jackson",Drama,7
Juice,1992,Ernest R. Dickerson,95,"Omar Epps, Khalil Kain, Samuel L. Jackson",Sports Drama,7
