title,year,director,duration,cast,genre,imdb_rating
Lone Wolf and Cub: Baby Cart to Hades,1972,Kenji Misumi,89,"Tomisaburo Wakayama, Akihiro Tomikawa, Go Kato",Comedy  •  Crime  •  Crime Comedy,7.5
Conquest of the Planet of the Apes,1972,J. Lee Thompson,88,"Don Murray, Natalie Trundy, Roddy McDowall",Action  •  Drama  •  Epic,6.1
Bad Company,1972,Robert Benton,93,"Jeff Bridges, Barry Brown, Jim Davis",Based-on-Television  •  Crime Drama  •  Crime,6.9
The Hot Rock,1972,Peter Yates,101,"Robert Redford, George Segal, Ron Leibman",Action  •  Animation  •  Based-on-Comics,6.8
The King of Marvin Gardens,1972,Bob Rafelson,103,"Jack Nicholson, Bruce Dern, Ellen Burstyn",Drama  •  Romance  •  Romantic Drama,6.5
Roma,1972,Federico Fellini,128,"Britta Barnes, Federico Fellini, Pia de Doses",Comedy  •  Comedy of Errors  •  Crime,7.3
Images,1972,Robert Altman,101,"Susannah York, René Auberjonois, Marcel Bozzuffi",Alien Invasion Films  •  Horror  •  Mystery,7
The Harder They Come,1972,Perry Henzell,120,"Jimmy Cliff, Janet Bartley, Carl Bradshaw",Comedy Drama  •  Crime Drama  •  Crime,6.9
Dirty Money,1972,Jean-Pierre Melville,98,"Alain Delon, Richard Crenna, Catherine Deneuve",Comedy Drama  •  Drama  •  Feminist Film,8.1
What Have You Done to Solange?,1972,Massimo Dallamano,103,"Karin Baal, Joachim Fuchsberger, Fabio Testi",Drama  •  Police Detective Film  •  War,6.9
Junior Bonner,1972,Sam Peckinpah,100,"Steve McQueen, Robert Preston, Ben Johnson",Based-on-19th-Century-Literature  •  Fantasy  •  Fantasy Comedy,6.7
Dr. Phibes Rises Again,1972,Robert Fuest,89,"Hugh Griffith, Vincent Price, Robert Quarry",Based-on-a-True-Story  •  Biopic  •  Comedy Drama,6.3
Pink Floyd: Live at Pompeii,1972,Adrian Maben,85,"David Gilmour, Nick Mason, Roger Waters",Americana  •  Comedy  •  Ensemble Film,8.6
Sounder,1972,Martin Ritt,105,"Cicely Tyson, Paul Winfield, Kevin Hooks",Horror  •  Mockumentary  •  Mystery,7.5
Blacula,1972,William Crain,93,"William Marshall, Vonetta McGee, Denise Nicholas",Based-on-a-True-Story  •  Crime  •  Crime Drama,5.7
Avanti!,1972,Billy Wilder,140,"Jack Lemmon, Juliet Mills, Clive Revill",Drama  •  Horror  •  Mystery,7.2
Five Fingers of Death,1972,Chang-hwa Jeong,104,"Lieh Lo, Ping Wang, Hsiung Chao",Body Horror  •  Cyberpunk / Tech Noir  •  Hitman / Assassin Film,7.1
Super Fly,1972,Gordon Parks Jr.,93,"Ron O'Neal, Carl Lee, Sheila Frazier",Black Comedy,6.4
Vampire Circus,1972,Robert Young,87,"Adrienne Corri, Thorley Walters, Anthony Higgins",Action  •  Based-on-Television  •  Cyborg / Android / Robot,6.3
Tombs of the Blind Dead,1972,Amando de Ossorio,86,"César Burner, José Thelman, Maria Silva",Action Thriller  •  Action  •  Body Horror,6.1
Asylum,1972,Roy Ward Baker,88,"Peter Cushing, Britt Ekland, Herbert Lom",Crime Drama  •  Crime  •  Drama,6.5
The New Land,1972,Jan Troell,204,"Max von Sydow, Liv Ullmann, Eddie Axberg",Drama  •  Gay and Lesbian Film  •  Romance,8
The Offence,1972,Sidney Lumet,112,"Sean Connery, Trevor Howard, Vivien Merchant",Action  •  Action Comedy  •  Comedy,6.9
Snoopy Come Home,1972,Bill Melendez,81,"Chad Webber, Robin Kohn, Stephen Shea",Based-on-a-True-Story  •  Biopic  •  Drama,7.4
Your Vice is a Locked Room and Only I Have the Key,1972,Sergio Martino,96,"Edwige Fenech, Luigi Pistilli, Ivan Rassimov",Based-on-Theatre  •  Drama  •  Family Drama,6.6
Raw Meat,1972,Gary Sherman,87,"Donald Pleasence, Norman Rossington, David Ladd",Based-on-Theatre  •  Drama  •  Melodrama,8
Dracula A.D. 1972,1972,Alan Gibson,96,"Christopher Lee, Peter Cushing, Stephanie Beacham",Horror  •  Mystery  •  Pre-Code Hollywood,5.9
Man of La Mancha,1972,Arthur Hiller,132,"Peter O'Toole, Sophia Loren, James Coco",Crime Thriller  •  Crime  •  Giallo,6.5
Caliber 9,1972,Fernando Di Leo,100,"Gastone Moschin, Barbara Bouchet, Mario Adorf",Comedy  •  Fantasy Comedy  •  Fantasy,7.4
Ulzana's Raid,1972,Robert Aldrich,103,"Burt Lancaster, Bruce Davison, Jorge Luke",Drama  •  Holiday Film  •  Horror,7
Boxcar Bertha,1972,Martin Scorsese,88,"Barbara Hershey, David Carradine, Barry Primus",Crime Thriller  •  Crime  •  Film Noir,6
Butterflies Are Free,1972,Milton Katselas,109,"Goldie Hawn, Edward Albert, Eileen Heckart",Biography  •  Culture and Society  •  Documentary,7.2
The Other,1972,Robert Mulligan,108,"Uta Hagen, Diana Muldaur, Chris Udvarnoky",Action  •  Adventure  •  Animation,6.8
The Case of the Bloody Iris,1972,Giuliano Carnimeo,94,"Edwige Fenech, George Hilton, Annabella Incontrera",Action  •  Adventure  •  Based-on-Television,6.4
The Canterbury Tales,1972,Pier Paolo Pasolini,112,"Hugh Griffith, Laura Betti, Ninetto Davoli",Horror  •  Natural Horror,6.3
Female Prisoner Scorpion: Jailhouse 41,1972,Shun'ya Itô,90,"Meiko Kaji, Fumio Watanabe, Kayoko Shiraishi",Based-on-a-True-Story  •  Docudrama  •  Drama,7.1
Grand Duel,1972,Giancarlo Santi,98,"Lee Van Cleef, Alberto Dentice, Jess Hahn",Crime  •  Crime Drama  •  Drama,6.4
Lady Sings the Blues,1972,Sidney J. Furie,144,"Diana Ross, Billy Dee Williams, Paul Hampton",Foreign Language Film  •  Spaghetti Western  •  Western,7
Marjoe,1972,"Sarah Kernochan, Howard Smith",88,"Marjoe Gortner, Sarah Kernochan",Action Thriller  •  Action  •  Crime Thriller,7.4
Malcolm X,1972,Arnold Perl,91,"James Earl Jones, Ossie Davis, John Ali",Biography  •  Documentary  •  History,7.5
Tout va bien,1972,"Jean-Luc Godard, Jean-Pierre Gorin",95,"Yves Montand, Jane Fonda, Vittorio Caprioli",Drama  •  Foreign Language Film  •  French New Wave,6.5
Who Saw Her Die?,1972,Aldo Lado,90,"George Lazenby, Anita Strindberg, Adolfo Celi",Foreign Language Film  •  Giallo  •  Horror,6.4
The Blood Spattered Bride,1972,Vicente Aranda,100,"Maribel Martín, Simon Andreu, Alexandra Bastedo",Foreign Language Film  •  Horror  •  Monster Film,6.2
State of Siege,1972,Costa-Gavras,120,"Yves Montand, Renato Salvatori, O.E. Hasse",Foreign Language Film  •  Political Thriller  •  Thriller,7.7
The Big Bird Cage,1972,Jack Hill,88,"Pam Grier, Sid Haig, Carol Speed",Action  •  Crime  •  Prison Film,5.9
The Lorax,1972,Hawley Pratt,25,"Eddie Albert, Bob Holt, Athena Lorde",Animation  •  Family  •  Made-for-Television,7.9
Children Shouldn't Play with Dead Things,1972,Bob Clark,87,"Alan Ormsby, Valerie Mamches, Jeff Gillen",Horror  •  Monster Film  •  Supernatural Horror,5.3
Fritz the Cat,1972,Ralph Bakshi,79,"John McCurry, Judy Engles, Skip Hinnant",Animation  •  Based-on-Comics  •  Comedy,6.2
Shaft's Big Score!,1972,Gordon Parks,99,"Richard Roundtree, Drew Bundi Brown, Kathy Imrie",Action  •  Blaxploitation  •  Detective Film,6
Bone,1972,Larry Cohen,95,"Yaphet Kotto, Andrew Duggan, Joyce Van Patten",Black Comedy  •  Comedy Drama  •  Drama,6.7
The New Centurions,1972,Richard Fleischer,103,"George C. Scott, Stacy Keach, Jane Alexander",Drama  •  Police Drama,7
The Devil,1972,Andrzej Zulawski,119,"Leszek Teleszynski, Wojciech Pszoniak, Malgorzata Braunek",Costume Horror  •  Drama  •  Foreign Language Film,7
Child's Play,1972,Sidney Lumet,100,"James Mason, Robert Preston, Beau Bridges",Drama  •  Mystery  •  Psychological Drama,6.2
The Legend of Boggy Creek,1972,Charles B. Pierce,90,"Vern Stierman, Chuck Pierce Jr., William Stumpp",Docudrama  •  Drama  •  Horror,5.2
Lucifer Rising,1972,Kenneth Anger,29,"Kenneth Anger, Jimmy Page, Marianne Faithfull",Avant-garde / Experimental  •  Fantasy  •  Gay and Lesbian Film,7.1
Baron Blood,1972,Mario Bava,90,"Joseph Cotten, Elke Sommer, Massimo Girotti",Foreign Language Film  •  Gothic Film  •  Horror,5.9
Badlands,1973,Terrence Malick,95,"Sissy Spacek, Martin Sheen, Gary Littlejohn",Action Comedy  •  Comedy  •  Crime Comedy,7.7
The Sting,1973,George Roy Hill,129,"Paul Newman, Robert Redford, Robert Shaw",Based-on-20th-Century-Literature  •  Courtroom Drama  •  Crime Drama,8.3
The Long Goodbye,1973,Robert Altman,112,"Elliott Gould, Nina Van Pallandt, Henry Gibson",Adventure  •  Based-on-20th-Century-Literature  •  Based-on-a-True-Story,7.5
Paper Moon,1973,Peter Bogdanovich,102,"Ryan O'Neal, John Hillerman, Randy Quaid",Action Thriller  •  Action  •  Based-on-20th-Century-Literature,8.1
The Exorcist,1973,William Friedkin,122,"Ellen Burstyn, Max von Sydow, Mercedes McCambridge",Black Comedy  •  Caper  •  Crime Comedy,8.1
Mean Streets,1973,Martin Scorsese,112,"Robert De Niro, Harvey Keitel, David Proval",Comedy Drama  •  Romance  •  Romantic Drama,7.2
The Holy Mountain,1973,Alejandro Jodorowsky,114,"Alejandro Jodorowsky, Horacio Salinas, Zamira Saunders",Based-on-20th-Century-Literature  •  Horror  •  New Hollywood,7.7
The Last Detail,1973,Hal Ashby,104,"Jack Nicholson, Otis Young, Randy Quaid",Action  •  Based-on-Comics  •  Cyborg / Android / Robot,7.5
High Plains Drifter,1973,Clint Eastwood,105,"Clint Eastwood, Verna Bloom, Marianna Hill",Disaster Film  •  Drama  •  Political Thriller,7.4
Enter the Dragon,1973,Robert Clouse,110,"Bruce Lee, Jim Kelly, John Saxon",Comedy  •  Romance  •  Romantic Comedy,7.6
F for Fake,1973,Orson Welles,85,"Joseph Cotten, Richard Wilson, Orson Welles",Based-on-19th-Century-Literature  •  Based-on-a-True-Story  •  Biopic,7.7
Day for Night,1973,François Truffaut,115,"Jacqueline Bisset, Valentina Cortese, Alexandra Stewart",Comedy  •  Romance  •  Romantic Comedy,8
Serpico,1973,Sidney Lumet,130,"Al Pacino, John Randolph, Jack Kehoe",Avant-garde / Experimental  •  Body Horror  •  Drama,7.7
Don't Look Now,1973,Nicolas Roeg,110,"Julie Christie, Donald Sutherland, Hilary Mason",Adventure Drama  •  Adventure  •  Based-on-20th-Century-Literature,7.1
Amarcord,1973,Federico Fellini,123,"Bruno Zanin, Pupella Maggio, Ciccio Ingrassia",Action  •  Based-on-Comics  •  Fantasy,7.8
The Wicker Man,1973,Robin Hardy,100,"Edward Woodward, Christopher Lee, Diane Cilento",Horror  •  Slasher Film  •  Teen Movie,7.5
Scenes from a Marriage,1973,Ingmar Bergman,169,"Bibi Andersson, Liv Ullmann, Erland Josephson",Based-on-20th-Century-Literature  •  Crime  •  Drama,8.5
Papillon,1973,Franklin J. Schaffner,150,"Steve McQueen, Dustin Hoffman, E.J. Andre",Drama  •  Foreign Language Film  •  French New Wave,8
The Day of the Jackal,1973,Fred Zinnemann,143,"Edward Fox, Alan Badel, Michel Auclair",Action  •  Action Comedy  •  Action Thriller,7.8
