title,year,director,duration,cast,genre
Dave,1993,Ivan Reitman,110,"Kevin Dunn, Ving Rhames, Frank Langella",Femme Fatale  •  Film Noir  •  Psychological Thriller
Shakespeare in Love,1998,John Madden,123,"Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush",Americana  •  Comedy  •  Political Satire
Bad Lieutenant,1992,Abel Ferrara,96,"Harvey Keitel, Victor Argo, Paul Calderon",Comedy Drama  •  Costume Romance  •  Cross-Dressing / Gender-Bending
The Red Violin,1998,François Girard,131,"Greta Scacchi, Samuel L. Jackson, Don McKellar",Addiction Drama  •  Crime Drama  •  Crime
High Tension,2003,Alexandre Aja,91,"Cécile De France, Maïwenn, Philippe Nahon",Anthology Film  •  Drama  •  Ensemble Film
Norma Rae,1979,Martin Ritt,110,"Sally Field, Beau Bridges, Gail Strickland",Foreign Language Film  •  Horror  •  New French Extremism
Interiors,1978,Woody Allen,93,"Mary Beth Hurt, Richard Jordan, E.G. Marshall",Drama  •  Family Drama  •  Social Problem Film
Le Corbeau,1943,Henri-Georges Clouzot,92,"Pierre Fresnay, Ginette Leclerc, Micheline Francey",Drama  •  Family Drama  •  New Hollywood
The Many Adventures of Winnie the Pooh,1977,Wolfgang Reitherman,100,"Sterling Holloway, Sebastian Cabot, Junius Matthews",Foreign Language Film  •  Mystery  •  Psychological Thriller
Fast Five,2011,Justin Lin,105,"Dwayne Johnson, Vin Diesel, Paul Walker",Animated Musical  •  Animation  •  Musical
Heartbreak Ridge,1986,Clint Eastwood,130,"Everett McGill, Moses Gunn, Bo Svenson",Action  •  Action Thriller  •  Carsploitation
The Dreamers,2003,Bernardo Bertolucci,112,"Michael Pitt, Louis Garrel, Anna Chancellor",Drama  •  Combat Films  •  War Drama
Ginger Snaps,2000,John Fawcett,108,"Emily Perkins, Katharine Isabelle, Kris Lemche",Coming-of-Age  •  Drama  •  Erotic Drama
Slither,2006,James Gunn,95,"Elizabeth Banks, Gregg Henry, Michael Rooker",Canuxploitation  •  Coming-of-Age  •  Feminist Film
Zero For Conduct,1933,Jean Vigo,41,"Léon Larive, Jean Dasté, Robert le Flon",Body Horror  •  Horror Comedy  •  Horror
Bloodsport,1988,Newt Arnold,92,"Jean-Claude Van Damme, Donald Gibb, Forest Whitaker",Childhood Drama  •  Comedy Drama  •  Coming-of-Age
Ida,2013,Pawel Pawlikowski,80,"Agata Kulesza, Agata Trzebuchowska, Joanna Kulig",Action  •  Based-on-a-True-Story  •  Biopic
The Man With the Golden Arm,1955,Otto Preminger,119,"Darren McGavin, John Conte, Doro Merande",Drama  •  Foreign Language Film  •  Period Film
The Pawnbroker,1964,Sidney Lumet,116,"Brock Peters, Geraldine Fitzgerald, Rod Steiger",Addiction Drama  •  Drama  •  Melodrama
Days of Being Wild,1990,Wong Kar-Wai,94,"Leslie Cheung, Maggie Cheung, Andy Lau",Drama  •  Psychological Drama  •  Urban Drama
The American Friend,1977,Wim Wenders,125,"Dennis Hopper, Bruno Ganz, Nicholas Ray",Drama  •  Ensemble Film  •  Foreign Language Film
Silver Streak,1976,Arthur Hiller,114,"Gene Wilder, Jill Clayburgh, Richard Pryor",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime Thriller
The People vs. Larry Flynt,1996,Milos Forman,129,"Woody Harrelson, Courtney Love, Edward Norton",Action Comedy  •  Action Thriller  •  Action
Mikey and Nicky,1976,Elaine May,119,"Peter Falk, John Cassavetes, William Hickey",Based-on-a-True-Story  •  Biopic  •  Comedy Drama
The Hills Have Eyes,1977,Wes Craven,89,"John Steadman, Janus Blythe, Peter Locke",Crime Drama  •  Crime  •  Drama
Othello,1951,Orson Welles,93,"Robert Coote, Nicholas Bruce, Orson Welles",Cannibal Film  •  Exploitation Film  •  Horror
Nine to Five,1980,Colin Higgins,110,"Dolly Parton, Dabney Coleman, Sterling Hayden",Based-on-Shakespeare  •  Based-on-Theatre  •  Drama
Rachel Getting Married,2008,Jonathan Demme,113,"Anne Hathaway, Sebastian Stan, Roslyn Ruff",Comedy  •  Farce  •  Feminist Film
Rabbit of Seville,1950,Chuck Jones,7,"Mel Blanc, Arthur Q. Bryan",Drama  •  Ensemble Film  •  Family Drama
High Anxiety,1977,Mel Brooks,94,"Mel Brooks, Ron Carey, Howard Morris",Animation  •  Cartoon  •  Comedy
The Civil War,1990,Ken Burns,680,"David McCullough, Sam Waterston, Morgan Freeman",Absurd Comedy  •  Comedy  •  Comedy Thriller
You're Next,2011,Adam Wingard,95,"Sharni Vinson, Amy Seimetz, AJ Bowen",Documentary  •  History  •  Made-for-Television
Hobson's Choice,1954,David Lean,107,"Charles Laughton, John Mills, Derek Blomfield",Home Invasion Film  •  Horror  •  Slasher Film
Philomena,2013,Stephen Frears,98,"Judi Dench, Steve Coogan, Sophie Kennedy Clark",Comedy Drama  •  Comedy of Manners  •  Domestic Comedy
Happy-Go-Lucky,2008,Mike Leigh,118,"Sally Hawkins, Eddie Marsan, Alexis Zegerman",Drama  •  Religious Drama  •  Road Movie
Nightbreed,1990,Clive Barker,102,"Craig Sheffer, Anne Bobby, David Cronenberg",Comedy Drama  •  Drama  •  Slice of Life
Fireworks,1997,Takeshi Kitano,103,"Tetsu Watanabe, Susumu Terajima, Takeshi Kitano",Based-on-20th-Century-Literature  •  Horror  •  Monster Film
A Day in the Country,1946,Jean Renoir,40,"Sylvia Bataille, Jane Marken, Georges D'Arnoux",Crime Drama  •  Crime  •  Drama
How to Marry a Millionaire,1953,Jean Negulesco,95,"Betty Grable, Marilyn Monroe, Lauren Bacall",Comedy Drama  •  Drama  •  Foreign Language Film
For All Mankind,1989,Al Reinert,80,"Jim Lovell, Russell Schweickart, Eugene Cernan",Comedy  •  Comedy of Errors  •  Drama
National Treasure,2004,Jon Turteltaub,131,"Nicolas Cage, Justin Bartha, Sean Bean",Documentary  •  History
October Sky,1999,Joe Johnston,108,"Jake Gyllenhaal, Chris Cooper, Chris Owen",Action Thriller  •  Action  •  Adventure
Enemy at the Gates,2001,Jean-Jacques Annaud,131,"Joseph Fiennes, Jude Law, Bob Hoskins",Coming-of-Age  •  Drama  •  Family Drama
No Direction Home,2005,Martin Scorsese,208,"Bob Dylan, Joan Baez, Pete Seeger",Combat Films  •  Drama  •  Epic
The Bounty,1984,Roger Donaldson,132,"Mel Gibson, Anthony Hopkins, Edward Fox",Biography  •  Documentary  •  History
Clear and Present Danger,1994,Phillip Noyce,141,"Willem Dafoe, Harrison Ford, Anne Archer",Adventure  •  Adventure Drama  •  Based-on-a-True-Story
The Burning,1981,Tony Maylam,91,"Brian Matthews, Leah Ayres, Jason Alexander",Action Thriller  •  Action  •  Based-on-20th-Century-Literature
The Damned United,2009,Tom Hooper,97,"Michael Sheen, Timothy Spall, Colm Meaney",Horror  •  Slasher Film
TrollHunter,2010,André Øvredal,103,"Otto Jespersen, Glenn Erland Tosterud, Tomas Alf Larsen",Based-on-a-True-Story  •  Biopic  •  Drama
Kingpin,1996,Bobby & Peter Farrelly,117,"Woody Harrelson, Vanessa Angel, Bill Murray",Adventure  •  Fantasy Adventure  •  Fantasy
Ong-Bak: The Thai Warrior,2003,Prachya Pinkaew,105,"Petchthai Wongkamlao, Chatthapong Pantanaunkul, Rungrawee Borrijindakul",Buddy Film  •  Comedy  •  Road Movie
Adventureland,2009,Greg Mottola,107,"Jesse Eisenberg, Kristen Stewart, Ryan Reynolds",Action  •  Foreign Language Film  •  Martial Arts
Capote,2005,Bennett Miller,114,"Philip Seymour Hoffman, Catherine Keener, Chris Cooper",Comedy Drama  •  Coming-of-Age  •  Drama
The Godfather Part III,1990,Francis Ford Coppola,169,"Al Pacino, Diane Keaton, Talia Shire",Based-on-a-True-Story  •  Biopic  •  Crime Drama
Pillow Talk,1959,Michael Gordon,102,"Tony Randall, Thelma Ritter, Doris Day",Crime Drama  •  Crime  •  Drama
Strictly Ballroom,1992,Baz Luhrmann,94,"Paul Mercurio, Tara Morice, Pat Thomson",Based-on-Theatre  •  Comedy  •  Comedy of Errors
Lone Wolf and Cub: Baby Cart at the River Styx,1972,Kenji Misumi,95,"Tomisaburo Wakayama, Akihiro Tomikawa, Akiji Kobayashi",Comedy Drama  •  Dance Film  •  Drama
SLC Punk,1999,James Merendino,97,"Matthew Lillard, Michael A. Goorjian, Jennifer Lien",Action  •  Based-on-Comics  •  Based-on-Manga
Revolutionary Road,2008,Sam Mendes,119,"Leonardo DiCaprio, Kate Winslet, Michael Shannon",Buddy Film  •  Comedy Drama  •  Coming-of-Age
Everything You Always Wanted to Know About Sex...,1972,Woody Allen,87,"Woody Allen, Lynn Redgrave, Louise Lasser",Based-on-20th-Century-Literature  •  Drama  •  Marriage Drama
Jay and Silent Bob Strike Back,2001,Kevin Smith,104,"Kevin Smith, Jason Mewes, Shannon Elizabeth",Anthology Film  •  Comedy  •  Cross-Dressing / Gender-Bending
Once Upon a Time in China,1991,Hark Tsui,134,"Jet Li, Biao Yuen, Rosamund Kwan",Buddy Film  •  Comedy  •  Road Movie
Irma La Douce,1963,Billy Wilder,147,"Jack Lemmon, Lou Jacobi, Herschel Bernardi",Action  •  Adventure Drama  •  Adventure
Elephant,2003,Gus Van Sant,81,"Alex Frost, Jordan Taylor, Carrie Finklea",Based-on-Theatre  •  Comedy of Manners  •  Comedy
The Great Beauty,2013,Paolo Sorrentino,142,"Toni Servillo, Carlo Verdone, Sabrina Ferilli",Drama  •  Ensemble Film  •  Hyperlink Film
Valerie and Her Week of Wonders,1970,Jaromil Jires,77,"Jaroslava Schallerová, Helena Anýzová, Petr Kopriva",Comedy Drama  •  Drama  •  Foreign Language Film
Frozen,2013,"Chris Buck, Jennifer Lee",108,"Kristen Bell, Idina Menzel, Jonathan Groff",Adventure  •  Coming-of-Age  •  Czechoslovak New Wave
Streets of Fire,1984,Walter Hill,93,"Michael Paré, Diane Lane, Amy Madigan",Animated Musical  •  Animation  •  Comedy
You Were Never Really Here,2017,Lynne Ramsay,85,"Joaquin Phoenix, Judith Roberts, Ekaterina Samsonov",Action  •  Action Thriller  •  Biker Film
Shaolin Soccer,2001,Stephen Chow,87,"Stephen Chow, Man Tat Ng, Yin Tse",Based-on-21st-Century-Literature  •  Crime Drama  •  Crime Thriller
The Basketball Diaries,1995,Scott Kalvert,102,"Leonardo DiCaprio, Lorraine Bracco, Mark Wahlberg",Action Comedy  •  Action  •  Comedy
Beasts of No Nation,2015,Cary Joji Fukunaga,133,"Idris Elba, Ama Abebrese, Abraham Attah",Addiction Drama  •  Based-on-a-True-Story  •  Biopic
Star Trek: The Next Generation: The Best of Both Worlds,1990,Cliff Bole,90,"Patrick Stewart, Jonathan Frakes, Brent Spiner",Drama  •  War Drama  •  War
The LEGO Batman Movie,2017,Chris McKay,104,"Will Arnett, Ralph Fiennes, Michael Cera",Action  •  Adventure Drama  •  Adventure
Singles,1992,Cameron Crowe,99,"Bridget Fonda, Kyra Sedgwick, Campbell Scott",Action Comedy  •  Action  •  Animation
The Help,2011,Tate Taylor,146,"Emma Stone, Viola Davis, Bryce Dallas Howard",Comedy Drama  •  Comedy of Manners  •  Ensemble Film
United 93,2006,Paul Greengrass,111,"Richard Bekins, Susan Blommaert, Ray Charleson",Based-on-21st-Century-Literature  •  Comedy Drama  •  Drama
Safety Not Guaranteed,2012,Colin Trevorrow,85,"Aubrey Plaza, Mark Duplass, Jake Johnson",Based-on-a-True-Story  •  Docudrama  •  Drama
Miracle,2004,Gavin O'Connor,135,"Kurt Russell, Patricia Clarkson, Noah Emmerich",Comedy Drama  •  Drama  •  Magic Realism
Anne of Green Gables,1985,Kevin Sullivan,199,"Megan Follows, Colleen Dewhurst, Richard Farnsworth",Based-on-a-True-Story  •  Biopic  •  Drama
Dumbo,1941,Ben Sharpsteen,64,"Herman Bing, James Baskett, Billy Bletcher",Coming-of-Age  •  Drama  •  Family Drama
The Hunger,1983,Tony Scott,97,"Catherine Deneuve, David Bowie, Susan Sarandon",Adventure  •  Animated Musical  •  Animation
The Transformers: The Movie,1986,Nelson Shin,84,"Leonard Nimoy, Robert Stack, Eric Idle",Drama  •  Erotic Drama  •  Gothic Film
Running on Empty,1988,Sidney Lumet,116,"Christine Lahti, Judd Hirsch, Martha Plimpton",Action  •  Animation  •  Based-on-Television
The Sea Inside,2004,Alejandro Amenábar,125,"Javier Bardem, Belén Rueda, Lola Dueñas",Coming-of-Age  •  Drama  •  Family Drama
Rescue Dawn,2007,Werner Herzog,126,"Christian Bale, Jeremy Davies, Yuttana Muenwaja",Based-on-a-True-Story  •  Biopic  •  Drama
The Disaster Artist,2017,James Franco,98,"James Franco, Dave Franco, Seth Rogen",Based-on-a-True-Story  •  Docudrama  •  Drama
Bad Times at the El Royale,2018,Drew Goddard,141,"Jeff Bridges, Cynthia Erivo, Dakota Johnson",Based-on-a-True-Story  •  Biopic  •  Comedy Drama
Trust,1990,Hal Hartley,107,"Adrienne Shelly, Martin Donovan, Merritt Nelson",Crime Thriller  •  Crime  •  Mystery
Bunny Lake Is Missing,1965,Otto Preminger,107,"Laurence Olivier, Carol Lynley, Martita Hunt",Black Comedy  •  Comedy Drama  •  Domestic Comedy
Coffy,1973,Jack Hill,91,"Pam Grier, Booker Bradshaw, Robert DoQui",Mystery  •  Police Detective Film  •  Psychological Thriller
Parenthood,1989,Ron Howard,124,"Steve Martin, Mary Steenburgen, Dianne Wiest",Action Thriller  •  Action  •  Blaxploitation
Fahrenheit 451,1966,François Truffaut,112,"Oskar Werner, Julie Christie, Cyril Cusack",Comedy  •  Domestic Comedy  •  Ensemble Film
Foul Play,1978,Colin Higgins,116,"Goldie Hawn, Rachel Roberts, Dudley Moore",Based-on-20th-Century-Literature  •  Drama  •  Dystopian Film
The Fountain,2006,Darren Aronofsky,96,"Hugh Jackman, Rachel Weisz, Ellen Burstyn",Comedy Thriller  •  Comedy  •  Mystery
Killer Joe,2011,William Friedkin,103,"Matthew McConaughey, Emile Hirsch, Juno Temple",Drama  •  Mindbender  •  Psychological Sci-Fi
Dune,1984,David Lynch,190,"Kyle MacLachlan, Brad Dourif, José Ferrer",Based-on-Theatre  •  Black Comedy  •  Crime
Demons,1985,Lamberto Bava,88,"Urbano Barberini, Natasha Hovey, Karl Zinny",Action  •  Based-on-20th-Century-Literature  •  Sci-Fi Action
The Birdcage,1996,Mike Nichols,117,"Robin Williams, Gene Hackman, Nathan Lane",Horror  •  Monster Film  •  Splatter Film
Eat Drink Man Woman,1994,Ang Lee,123,"Sihung Lung, Yang Kuei-Mei, Wang Yu-Wen",Comedy of Errors  •  Comedy  •  Cross-Dressing / Gender-Bending
In the Company of Men,1997,Neil LaBute,97,"Aaron Eckhart, Matt Malloy, Mark Rector",Comedy Drama  •  Domestic Comedy  •  Foreign Language Film
Shang-Chi and the Legend of the Ten Rings,2021,Destin Daniel Cretton,132,"Simu Liu, Tony Leung Chiu Wai, Awkwafina",Drama  •  Psychological Drama
Outland,1981,Peter Hyams,112,"Sean Connery, Peter Boyle, Frances Sternhagen",Action  •  Adventure  •  Based-on-Comics
Friday Night Lights,2004,Peter Berg,118,"Billy Bob Thornton, Derek Luke, Lucas Black",Action  •  Adventure  •  Hybrid Western
Dogville,2003,Lars von Trier,178,"John Hurt, Philip Baker Hall, Nicole Kidman",Americana  •  Drama  •  Sports Drama
Richard III,1995,Richard Loncraine,104,"Ian McKellen, Annette Bening, Jim Broadbent",Avant-garde / Experimental  •  Drama  •  Melodrama
The Science of Sleep,2006,Michel Gondry,105,"Gael García Bernal, Charlotte Gainsbourg, Alain Chabat",Based-on-Shakespeare  •  Based-on-Theatre  •  Drama
Vera Drake,2004,Mike Leigh,125,"Anna Keaveney, Eddie Marsan, Richard Graham",Comedy Drama  •  Drama  •  Fantasy Comedy
Lilo & Stitch,2002,Dean DeBlois,85,"Chris Sanders, Jason Scott Lee, Daveigh Chase",Drama  •  Period Film  •  Social Problem Film
Halloween II,1981,Rick Rosenthal,92,"Jamie Lee Curtis, Donald Pleasence, Charles Cyphers",Animation  •  Comedy  •  Family-Oriented Comedy
Gosford Park,2001,Robert Altman,137,"Maggie Smith, Michael Gambon, Kristin Scott Thomas",Horror  •  Slasher Film  •  Teen Movie
Kiss of Death,1947,Henry Hathaway,98,"Victor Mature, Richard Widmark, Brian Donlevy",Comedy Drama  •  Comedy of Manners  •  Ensemble Film
20th Century Women,2016,Mike Mills,118,"Elle Fanning, Annette Bening, Greta Gerwig",Crime Drama  •  Crime Thriller  •  Crime
Rio Lobo,1970,Howard Hawks,114,"John Wayne, Jennifer O'Neill, Jorge Rivero",Comedy Drama  •  Drama  •  Period Film
Eyes Wide Shut,1999,Stanley Kubrick,159,"Tom Cruise, Nicole Kidman, Madison Eginton",Adventure  •  Traditional Western  •  War
Shazam!,2019,David F. Sandberg,132,"Zachary Levi, Asher Angel, Jack Dylan Grazer",Based-on-20th-Century-Literature  •  Drama  •  Erotic Drama
The Hit,1984,Stephen Frears,98,"John Hurt, Terence Stamp, Tim Roth",Action Comedy  •  Action  •  Based-on-Comics
The Desperate Hours,1955,William Wyler,112,"Arthur Kennedy, Martha Scott, Fredric March",Adventure Drama  •  Adventure  •  Crime Drama
The Ballad of Buster Scruggs,2018,Joel & Ethan Coen,132,"Tim Blake Nelson, Liam Neeson, James Franco",Based-on-20th-Century-Literature  •  Based-on-Theatre  •  Crime Thriller
Sleepers,1996,Barry Levinson,147,"Kevin Bacon, Robert De Niro, Dustin Hoffman",Anthology Film  •  Drama  •  Ensemble Film
Central Station,1998,Walter Salles,113,"Marilia Pera, Soia Lira, Othon Bastos",Based-on-20th-Century-Literature  •  Buddy Film  •  Courtroom Drama
Rolling Thunder,1977,John Flynn,95,"William Devane, Tommy Lee Jones, Linda Haynes",Drama  •  Foreign Language Film  •  Road Movie
Wes Craven's New Nightmare,1994,Wes Craven,112,"Robert Englund, Heather Langenkamp, Miko Hughes",Action Thriller  •  Action  •  Crime Drama
Away From Her,2006,Sarah Polley,110,"Gordon Pinsent, Olympia Dukakis, Stacey Laberge",Horror  •  Satire  •  Slasher Film
Deathtrap,1982,Sidney Lumet,116,"Michael Caine, Dyan Cannon, Irene Worth",Drama  •  Female-Directed Film  •  Marriage Drama
Candyman,1992,Bernard Rose,99,"Virginia Madsen, Tony Todd, Xander Berkeley",Based-on-Theatre  •  Black Comedy  •  Comedy
Holiday Inn,1942,Mark Sandrich,100,"Bing Crosby, Fred Astaire, Marjorie Reynolds",Based-on-20th-Century-Literature  •  Ghost Film  •  Horror
One-Eyed Jacks,1961,Marlon Brando,141,"Marlon Brando, Karl Malden, Ben Johnson",Comedy  •  Musical Comedy  •  Musical Romance
Monty Python: Live at the Hollywood Bowl,1982,Terry Hughes,77,"Graham Chapman, John Cleese, Terry Gilliam",Revenge Film  •  Revisionist Western  •  Western
The Substance,2024,Coralie Fargeat,140,"Demi Moore, Margaret Qualley, Dennis Quaid",Based-on-Television  •  Comedy  •  Satire
Legends of the Fall,1994,Edward Zwick,133,"Brad Pitt, Anthony Hopkins, Aidan Quinn",Black Comedy  •  Body Horror  •  Comedy Drama
Used Cars,1980,Robert Zemeckis,113,"Kurt Russell, Jack Warden, Gerrit Graham",Based-on-20th-Century-Literature  •  Costume Romance  •  Drama
Hamilton,2020,Thomas Kail,160,"Lin-Manuel Miranda, Daveed Diggs, Leslie Odom Jr",Americana  •  Comedy  •  Satire
He Got Game,1998,Spike Lee,136,"Milla Jovovich, Hill Harper, Denzel Washington",Americana  •  Based-on-21st-Century-Literature  •  Based-on-Theatre
Revenge of the Nerds,1984,Jeff Kanew,90,"Robert Carradine, Julia Montgomery, Timothy Busfield",Drama  •  Sports Drama  •  Urban Drama
Call Northside 777,1948,Henry Hathaway,112,"James Stewart, Richard Conte, Lee J. Cobb",Comedy  •  Teen Movie  •  Sex Comedy
A Time to Kill,1996,Joel Schumacher,149,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson",Based-on-a-True-Story  •  Crime Drama  •  Crime
The Gay Divorcee,1934,Mark Sandrich,107,"Fred Astaire, Ginger Rogers, Alice Brady",Based-on-20th-Century-Literature  •  Courtroom Drama  •  Crime Drama
Arthur,1981,Steve Gordon,97,"Dudley Moore, Liza Minnelli, John Gielgud",Comedy  •  Musical Comedy  •  Musical Romance
The Addams Family,1991,Barry Sonnenfeld,99,"Raul Julia, Anjelica Huston, Christopher Lloyd",Comedy Drama  •  Comedy of Manners  •  Comedy
Headhunters,2011,Morten Tyldum,98,"Nikolaj Coster-Waldau, Aksel Hennie, Julie R. Ølgaard",Based-on-Comics  •  Based-on-Television  •  Black Comedy
Don't Torture a Duckling,1972,Lucio Fulci,102,"Barbara Bouchet, Florinda Bolkan, Tomas Milian",Action Thriller  •  Action  •  Based-on-21st-Century-Literature
Nobody's Fool,1994,Robert Benton,110,"Paul Newman, Bruce Willis, Melanie Griffith",Crime Thriller  •  Crime  •  Foreign Language Film
The Ides of March,2011,George Clooney,101,"Ryan Gosling, George Clooney, Philip Seymour Hoffman",Comedy Drama  •  Drama  •  Ensemble Film
Pit and the Pendulum,1961,Roger Corman,80,"Vincent Price, Barbara Steele, John Kerr",Based-on-Theatre  •  Drama  •  Political Drama
Flirting with Disaster,1996,David O. Russell,92,"Ben Stiller, Patricia Arquette, Mary Tyler Moore",Based-on-19th-Century-Literature  •  Costume Horror  •  Gothic Film
Shivers,1975,David Cronenberg,87,"Paul Hampton, Joe Silver, Lynn Lowry",Comedy of Errors  •  Comedy  •  Road Movie
All the Real Girls,2003,David Gordon Green,108,"Paul Schneider, Zooey Deschanel, Maurice Compte",Body Horror  •  Canuxploitation  •  Horror
Heaven Can Wait,1978,"Warren Beatty, Buck Henry",101,"Warren Beatty, Julie Christie, James Mason",Coming-of-Age  •  Drama  •  Romantic Drama
Where is the Friend's Home?,1987,Abbas Kiarostami,87,"Babek Ahmed Poor, Ahmed Ahmed Poor, Kheda Barech Defai",Comedy  •  Fantasy Comedy  •  Fantasy
Nanook of the North,1922,Robert J. Flaherty,79,Berry Kroeger,Childhood Drama  •  Drama  •  Foreign Language Film
Batman Beyond: Return of the Joker,2000,Curt Geda,77,"Will Friedle, Kevin Conroy, Mark Hamill",Documentary  •  History  •  Silent Film
The Ghost Writer,2010,Roman Polanski,128,"Ewan McGregor, Pierce Brosnan, Olivia Williams",Action  •  Action Thriller  •  Animation
The Count of Monte Cristo,2002,Kevin Reynolds,131,"Jim Caviezel, Guy Pearce, Dagmara Dominczyk",Drama  •  Mystery  •  Political Thriller
A Star Is Born,1937,William A. Wellman,111,"Fredric March, Andy Devine, May Robson",Adventure Drama  •  Adventure  •  Based-on-19th-Century-Literature
Mr. & Mrs. Smith,2005,Doug Liman,120,"Angelina Jolie, Brad Pitt, Vince Vaughn",Drama  •  Marriage Drama  •  Melodrama
The Quick and the Dead,1995,Sam Raimi,107,"Sharon Stone, Russell Crowe, Gene Hackman",Action Comedy  •  Action  •  Comedy
21 Grams,2003,Alejandro González Iñárritu,124,"Sean Penn, Naomi Watts, Danny Huston",Girls-with-Guns  •  Revenge Film  •  Revisionist Western
Duck Dodgers in the 24 1/2th Century,1953,Chuck Jones,7,Mel Blanc,Anthology Film  •  Crime Drama  •  Crime Thriller
The Blood of a Poet,1932,Jean Cocteau,55,"Enrique Rivero, Elizabeth Lee Miller, Pauline Carton",Animation  •  Cartoon  •  Comedy
The Wild Robot,2024,Chris Sanders,101,"Lupita Nyong'o, Pedro Pascal, Kit Connor",Avant-garde / Experimental  •  Fantasy  •  Foreign Language Film
Zero Effect,1998,Jake Kasdan,116,"Bill Pullman, Ben Stiller, Ryan O'Neal",Adventure  •  Animation  •  Based-on-21st-Century-Literature
Sawdust and Tinsel,1953,Ingmar Bergman,93,"Harriet Andersson, Anders Ek, Gudrun Brost",Comedy Thriller  •  Comedy  •  Mystery
Real Life,1979,Albert Brooks,99,"Albert Brooks, Charles Grodin, Francis Lee McCain",Drama  •  Foreign Language Film  •  Psychological Drama
I Married a Witch,1942,René Clair,77,"Fredric March, Veronica Lake, Robert Benchley",Americana  •  Comedy  •  Media Satire
Adventures in Babysitting,1987,Chris Columbus,102,"Elisabeth Shue, Maia Brewton, Vincent D'Onofrio",Comedy  •  Fantasy Comedy  •  Fantasy
Out of Africa,1985,Sydney Pollack,160,"Meryl Streep, Robert Redford, Michael Kitchen",Comedy  •  Teen Movie
Baseball,1994,Ken Burns,1140,John Chancellor,Based-on-a-True-Story  •  Biopic  •  Costume Romance
Dead Men Don't Wear Plaid,1982,Carl Reiner,89,"Steve Martin, Rachel Ward, Carl Reiner",Documentary  •  Made-for-Television  •  Mini-Series
Vincent,1982,Tim Burton,6,Vincent Price,Comedy  •  Mystery  •  Parody/Spoof
I'm Not There,2007,Todd Haynes,135,"Christian Bale, Cate Blanchett, Heath Ledger",Animation  •  Fantasy  •  Short Film
Split,2016,M. Night Shyamalan,116,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson",Based-on-a-True-Story  •  Biopic  •  Drama
Departures,2008,Yôjirô Takita,130,"Ryoko Hirosue, Tsutomu Yamazaki, Masahiro Motoki",Horror  •  Psychological Horror  •  Psychological Thriller
White Men Can't Jump,1992,Ron Shelton,118,"Woody Harrelson, Wesley Snipes, Rosie Perez",Drama  •  Foreign Language Film  •  Message Movie
The Reader,2008,Stephen Daldry,124,"Ralph Fiennes, Jeanette Hain, Kate Winslet",Buddy Film  •  Comedy  •  Con Artist / Hustler
Bloody Sunday,2002,Paul Greengrass,107,"James Nesbitt, Kathy Kiera Clarke, Gerard Crossan",Based-on-20th-Century-Literature  •  Drama  •  Period Film
The Docks of New York,1928,Josef von Sternberg,76,"George Bancroft, Betty Compson, Olga Baclanova",Docudrama  •  Drama  •  Political Drama
Blindspotting,2018,Carlos López Estrada,95,"Daveed Diggs, Rafael Casal, Janina Gavankar",Drama  •  Melodrama  •  Romance
Hellboy II: The Golden Army,2008,Guillermo del Toro,120,"Ron Perlman, Selma Blair, Doug Jones",Comedy Drama  •  Drama
Barfly,1987,Barbet Schroeder,100,"Mickey Rourke, Faye Dunaway, Alice Krige",Action  •  Based-on-Comics  •  Fantasy
Rob Roy,1995,Michael Caton-Jones,139,"Liam Neeson, Jessica Lange, John Hurt",Addiction Drama  •  Comedy Drama  •  Drama
How the West Was Won,1962,"John Ford, Henry Hathaway, George Marshall",162,"Carroll Baker, James Stewart, Henry Fonda",Adventure  •  Based-on-a-True-Story  •  Biopic
The Blob,1988,Chuck Russell,95,"Kevin Dillon, Shawnee Smith, Donovan Leitch",Epic  •  Western
Sherlock: A Study in Pink,2010,Paul McGuigan,90,"Benedict Cumberbatch, Martin Freeman, Rupert Graves",Alien Invasion Films  •  Body Horror  •  Horror
Billy Elliot,2000,Stephen Daldry,110,"Julie Walters, Jean Heywood, Stuart Wells",Based-on-19th-Century-Literature  •  Detective Film  •  Made-for-Television
The Great Mouse Detective,1986,Ron Clements,74,"Alan Young, Susanne Pollatschek, Vincent Price",Childhood Drama  •  Comedy Drama  •  Coming-of-Age
Go,1999,Doug Liman,103,"Sarah Polley, Katie Holmes, Jay Mohr",Animation  •  Family-Oriented Fantasy  •  Family
Fearless,2006,Ronny Yu,103,"Dong Yong, Paw Hee-ching, Nathan Jones",Black Comedy  •  Chase Movie  •  Crime Comedy
Shattered Glass,2003,Billy Ray,94,"Melanie Lynskey, Hayden Christensen, Chloë Sevigny",Action  •  Foreign Language Film  •  Martial Arts
The Kentucky Fried Movie,1977,John Landis,90,"Henry Gibson, Forrest J. Ackerman, Michael Alaimo",Docudrama  •  Drama
Nixon,1995,Oliver Stone,212,"Anthony Hopkins, Joan Allen, Bob Hoskins",Absurd Comedy  •  Anthology Film  •  Comedy
How to Train Your Dragon 2,2014,Dean DeBlois,105,"Jay Baruchel, Gerard Butler, Craig Ferguson",Based-on-a-True-Story  •  Biopic  •  Drama
