title,year,director,duration,cast,genre
Citizen Kane,1941,Orson Welles,119,"Orson Welles, Ray Collins, Joseph Cotten",Drama  •  Newspaper Film  •  Period Film
Terminator 2: Judgment Day,1991,James Cameron,137,"Arnold Schwarzenegger, Linda Hamilton, Robert Patrick",Action Thriller  •  Action  •  Cyberpunk / Tech Noir
The Princess Bride,1987,Rob Reiner,98,"Cary Elwes, Mandy Patinkin, Chris Sarandon",Adventure Comedy  •  Adventure  •  Based-on-20th-Century-Literature
Blade Runner,1982,Ridley Scott,117,"Harrison Ford, Rutger Hauer, Sean Young",Based-on-20th-Century-Literature  •  Cyberpunk / Tech Noir  •  Cyborg / Android / Robot
Rashômon,1950,Akira Kurosawa,88,"Toshirô Mifune, Machiko Kyô, Minoru Chiaki",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime
Taxi Driver,1976,Martin Scorsese,113,"Robert De Niro, Jodie Foster, Albert Brooks",Drama  •  New Hollywood  •  Post-Noir
The Lord of the Rings: The Return of the King,2003,Peter Jackson,201,"Elijah Wood, Ian McKellen, Andy Serkis",Adventure  •  Based-on-20th-Century-Literature  •  Ensemble Film
The Wages of Fear,1953,Henri-Georges Clouzot,131,"Yves Montand, Charles Vanel, Folco Lulli",Based-on-20th-Century-Literature  •  Foreign Language Film  •  Psychological Thriller
The Usual Suspects,1995,Bryan Singer,106,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro",Crime Thriller  •  Crime  •  Ensemble Film
Saving Private Ryan,1998,Steven Spielberg,170,"Tom Hanks, Tom Sizemore, Edward Burns",Combat Films  •  Drama  •  Ensemble Film
Aliens,1986,James Cameron,137,"Sigourney Weaver, Carrie Henn, Michael Biehn",Action  •  Body Horror  •  Cyborg / Android / Robot
Paths of Glory,1957,Stanley Kubrick,87,"Kirk Douglas, Ralph Meeker, Adolphe Menjou",Anti-War Film  •  Based-on-20th-Century-Literature  •  Drama
Psycho,1960,Alfred Hitchcock,109,"Anthony Perkins, Vera Miles, John Gavin",Based-on-20th-Century-Literature  •  Horror  •  Psychological Horror
12 Angry Men,1957,Sidney Lumet,96,"Henry Fonda, Lee J. Cobb, Jack Klugman",Based-on-Television  •  Based-on-Theatre  •  Courtroom Drama
Jurassic Park,1993,Steven Spielberg,127,"Sam Neill, Laura Dern, Richard Attenborough",Action  •  Based-on-20th-Century-Literature  •  Fantasy
Schindler's List,1993,Steven Spielberg,195,"Liam Neeson, Ben Kingsley, Ralph Fiennes",Based-on-20th-Century-Literature  •  Based-on-a-True-Story  •  Biopic
The Passion of Joan of Arc,1928,Carl Theodor Dreyer,110,"Maria Falconetti, Eugene Silvain, André Berley",Based-on-a-True-Story  •  Biopic  •  Courtroom Drama
The Red Shoes,1948,"Michael Powell, Emeric Pressburger",133,"Moira Shearer, Anton Walbrook, Marius Goring",Based-on-19th-Century-Literature  •  Dance Film  •  Drama
Apocalypse Now,1979,Francis Ford Coppola,153,"Martin Sheen, Robert Duvall, Dennis Hopper",Adventure Drama  •  Adventure  •  Anti-War Film
Persona,1966,Ingmar Bergman,85,"Bibi Andersson, Liv Ullmann, Margareta Krook",Avant-garde / Experimental  •  Drama  •  Foreign Language Film
Come and See,1985,Elem Klimov,140,"Aleksei Kravchenko, Olga Mironova, Liubomiras Lauciavicius",Anti-War Film  •  Based-on-20th-Century-Literature  •  Coming-of-Age
Touch of Evil,1958,Orson Welles,95,"Charlton Heston, Janet Leigh, Orson Welles",Crime  •  Film Noir  •  Mystery
Forrest Gump,1994,Robert Zemeckis,142,"Tom Hanks, Robin Wright, Gary Sinise",Americana  •  Comedy Drama  •  Drama
Vertigo,1958,Alfred Hitchcock,129,"James Stewart, Kim Novak, Tom Helmore",Based-on-20th-Century-Literature  •  Femme Fatale  •  Mindbender
Jaws,1975,Steven Spielberg,124,"Roy Scheider, Robert Shaw, Richard Dreyfuss",Adventure  •  Based-on-20th-Century-Literature  •  Horror
Chinatown,1974,Roman Polanski,131,"Faye Dunaway, Jack Nicholson, John Hillerman",Detective Film  •  Femme Fatale  •  Mystery
The Lord of the Rings: The Two Towers,2002,Peter Jackson,179,"Elijah Wood, Ian McKellen, Andy Serkis",Adventure  •  Based-on-20th-Century-Literature  •  Ensemble Film
Toy Story,1995,John Lasseter,81,"Don Rickles, Wallace Shawn, Jim Varney",Adventure  •  Animation  •  Comedy
The Big Lebowski,1998,Joel & Ethan Coen,117,"Julianne Moore, David Huddleston, Jeff Bridges",Buddy Film  •  Comedy  •  Crime Comedy
Bicycle Thieves,1948,Vittorio De Sica,93,"Lamberto Maggiorani , Lianella Carell , Enzo Staiola",Coming-of-Age  •  Crime Drama  •  Crime
Memento,2000,Christopher Nolan,113,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",Crime Thriller  •  Crime  •  Mindbender
Le samouraï,1967,Jean-Pierre Melville,105,"Alain Delon, François Perier, Nathalie Delon",Crime Thriller  •  Crime  •  Foreign Language Film
A Clockwork Orange,1971,Stanley Kubrick,136,"Malcolm McDowell, Warren Clarke, Patrick Magee",Based-on-20th-Century-Literature  •  Dystopian Film  •  Juvenile Delinquency Film
Tokyo Story,1953,Yasujirô Ozu,136,"Chishu Ryu, Chieko Higashiyama, Setsuko Hara",Comedy • Comedy Drama
Ferris Bueller's Day Off,1986,John Hughes,103,"Matthew Broderick, Alan Ruck, Mia Sara",Drama  •  Family Drama  •  Foreign Language Film
The General,1926,"Clyde Bruckman, Buster Keaton",103,"Buster Keaton, Marion Mack, Glen Cavender",Comedy  •  Coming-of-Age  •  Teen Movie
The Treasure of the Sierra Madre,1948,John Huston,126,"Humphrey Bogart, Walter Huston, Tim Holt",Action Comedy  •  Action  •  Comedy
Full Metal Jacket,1987,Stanley Kubrick,116,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio",Adventure Drama  •  Adventure  •  Drama
Inception,2010,Christopher Nolan,148,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",Anti-War Film  •  Based-on-20th-Century-Literature  •  Combat Films
The Terminator,1984,James Cameron,108,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",Action Thriller  •  Action  •  Caper
Fargo,1996,Joel & Ethan Coen,98,"Frances McDormand, William H. Macy, Steve Buscemi",Action Thriller  •  Action  •  Cyberpunk / Tech Noir
The 400 Blows,1959,François Truffaut,99,"Jean-Pierre Léaud, Claire Maurier, Albert Remy",Americana  •  Black Comedy  •  Crime Comedy
It Happened One Night,1934,Frank Capra,105,"Clark Gable, Claudette Colbert, Walter Connolly",Childhood Drama  •  Coming-of-Age  •  Drama
Wild Strawberries,1957,Ingmar Bergman,91,"Victor Sjostrom, Bibi Andersson, Ingrid Thulin",Comedy  •  Newspaper Film  •  Pre-Code Hollywood
