title,year,director,duration,cast,genre,imdb_rating
Zatoichi Meets Yojimbo,1970,Kihachi Okamoto,115,Toshirô Mifune,Action  •  Adventure  •  Adventure Drama,7
Zatoichi Meets Yojimbo,1970,Kihachi Okamoto,115,Ayako Wakao,Action  •  Adventure  •  Adventure Drama,7
Original Cast Album: Company,1970,D.A. Pennebaker,58,Dean Jones,Documentary  •  Music,8
Original Cast Album: Company,1970,D.A. Pennebaker,58,Beth Howland,Documentary  •  Music,8
Original Cast Album: Company,1970,D.A. Pennebaker,58,Elaine Stritch,Documentary  •  Music,8
Count Dracula,1970,Jesús Franco,98,Christopher Lee,Based-on-19th-Century-Literature  •  Costume Horror  •  Gothic Film,5.6
Count Dracula,1970,Jesús Franco,98,Herbert Lom,Based-on-19th-Century-Literature  •  Costume Horror  •  Gothic Film,5.6
Count Dracula,1970,Jesús Franco,98,Klaus Kinski,Based-on-19th-Century-Literature  •  Costume Horror  •  Gothic Film,5.6
Cotton Comes to Harlem,1970,Ossie Davis,97,Godfrey Cambridge,Action  •  Action Comedy  •  Blaxploitation,6.4
Cotton Comes to Harlem,1970,Ossie Davis,97,Raymond St. Jacques,Action  •  Action Comedy  •  Blaxploitation,6.4
Cotton Comes to Harlem,1970,Ossie Davis,97,Redd Foxx,Action  •  Action Comedy  •  Blaxploitation,6.4
Multiple Maniacs,1970,John Waters,90,George Figgs,Black Comedy  •  Crime Comedy  •  Crime,6.5
Multiple Maniacs,1970,John Waters,90,David Lochary,Black Comedy  •  Crime Comedy  •  Crime,6.5
Multiple Maniacs,1970,John Waters,90,Edith Massey,Black Comedy  •  Crime Comedy  •  Crime,6.5
Monte Walsh,1970,William A. Fraker,106,Lee Marvin,Buddy Film  •  Revisionist Western  •  Western,7
Monte Walsh,1970,William A. Fraker,106,Mitchell Ryan,Buddy Film  •  Revisionist Western  •  Western,7
Monte Walsh,1970,William A. Fraker,106,Jack Palance,Buddy Film  •  Revisionist Western  •  Western,7
Start the Revolution Without Me,1970,Bud Yorkin,90,Gene Wilder,Comedy  •  Farce,6.4
Start the Revolution Without Me,1970,Bud Yorkin,90,Victor Spinetti,Comedy  •  Farce,6.4
Start the Revolution Without Me,1970,Bud Yorkin,90,Donald Sutherland,Comedy  •  Farce,6.4
Watermelon Man,1970,Melvin Van Peebles,100,Godfrey Cambridge,Comedy of Manners  •  Comedy  •  Drama,6.7
Watermelon Man,1970,Melvin Van Peebles,100,Estelle Parsons,Comedy of Manners  •  Comedy  •  Drama,6.7
Watermelon Man,1970,Melvin Van Peebles,100,Howard Caine,Comedy of Manners  •  Comedy  •  Drama,6.7
Sometimes a Great Notion,1970,Paul Newman,114,Paul Newman,Adventure  •  Adventure Drama  •  Drama,6.9
Sometimes a Great Notion,1970,Paul Newman,114,Henry Fonda,Adventure  •  Adventure Drama  •  Drama,6.9
Sometimes a Great Notion,1970,Paul Newman,114,Lee Remick,Adventure  •  Adventure Drama  •  Drama,6.9
House of Dark Shadows,1970,Dan Curtis,97,Jonathan Frid,Based-on-Television  •  Drama  •  Gothic Film,6.2
House of Dark Shadows,1970,Dan Curtis,97,Grayson Hall,Based-on-Television  •  Drama  •  Gothic Film,6.2
House of Dark Shadows,1970,Dan Curtis,97,Kathryn Leigh Scott,Based-on-Television  •  Drama  •  Gothic Film,6.2
The Owl and the Pussycat,1970,Herbert Ross,95,Barbra Streisand,Based-on-Theatre  •  Comedy  •  Prostitution Film,6.4
The Owl and the Pussycat,1970,Herbert Ross,95,George Segal,Based-on-Theatre  •  Comedy  •  Prostitution Film,6.4
The Owl and the Pussycat,1970,Herbert Ross,95,Robert Klein,Based-on-Theatre  •  Comedy  •  Prostitution Film,6.4
Too Late the Hero,1970,Robert Aldrich,133,Michael Caine,Drama  •  Action  •  War,6.6
Too Late the Hero,1970,Robert Aldrich,133,Cliff Robertson,Drama  •  Action  •  War,6.6
Too Late the Hero,1970,Robert Aldrich,133,Henry Fonda,Drama  •  Action  •  War,6.6
The Ear,1970,Karel Kachyna,94,Jirina Bohdalová,Czechoslovak New Wave  •  Foreign Language Film  •  Political Satire,7.7
The Ear,1970,Karel Kachyna,94,Radoslav Brzobohaty,Czechoslovak New Wave  •  Foreign Language Film  •  Political Satire,7.7
The Ear,1970,Karel Kachyna,94,Jiri Cisler,Czechoslovak New Wave  •  Foreign Language Film  •  Political Satire,7.7
Elvis: That's the Way It Is,1970,Denis Sanders,97,Elvis Presley,Concert Film  •  Documentary  •  Music,7.9
